country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Pusa, Delhi - IMD","09-04-2026 11:00:00",28.636110,77.173332,NO2,45,167,92
India,Delhi,Delhi,"Pusa, Delhi - IMD","09-04-2026 11:00:00",28.636110,77.173332,OZONE,27,315,197
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","09-04-2026 11:00:00",28.563262,77.186937,NO2,18,71,35
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","09-04-2026 11:00:00",28.563262,77.186937,NH3,5,10,6
India,Delhi,Delhi,"Rohini, Delhi - DPCC","09-04-2026 11:00:00",28.732528,77.119920,PM2.5,52,352,155
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","09-04-2026 11:00:00",28.530785,77.271255,SO2,13,26,19
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","09-04-2026 11:00:00",28.623763,77.287209,PM10,55,130,92
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","09-04-2026 11:00:00",28.623763,77.287209,NH3,8,10,9
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","09-04-2026 11:00:00",28.623763,77.287209,SO2,9,40,19
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","09-04-2026 11:00:00",28.623763,77.287209,OZONE,19,149,24
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","09-04-2026 11:00:00",28.674045,77.131023,CO,41,64,49
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","09-04-2026 11:00:00",23.002657,72.591912,OZONE,37,136,80
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","09-04-2026 11:00:00",23.020509,72.579261,CO,4,63,31
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","09-04-2026 11:00:00",23.020509,72.579261,OZONE,1,46,19
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","09-04-2026 11:00:00",23.016834,72.625775,PM2.5,23,58,40
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","09-04-2026 11:00:00",23.016834,72.625775,NH3,6,12,9
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","09-04-2026 11:00:00",28.531346,77.190156,NO2,12,46,26
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","09-04-2026 11:00:00",28.531346,77.190156,OZONE,3,108,20
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","09-04-2026 11:00:00",23.041137,72.456691,PM10,50,103,78
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","09-04-2026 11:00:00",28.621810,77.1944633,SO2,23,37,29
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","09-04-2026 11:00:00",28.6514781,77.1473105,CO,10,70,33
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","09-04-2026 11:00:00",28.6514781,77.1473105,NH3,6,8,7
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","09-04-2026 11:00:00",21.755417,72.139056,NH3,2,4,3
